,DateOccured,DateReported,Location,Duration
0,19951009,19951009," Iowa City, IA",
1,19951010,19951011," Milwaukee, WI",2 min.
2,19950101,19950103," Shelton, WA",
3,19950510,19950510," Columbia, MO",2 min.
4,19950611,19950614," Seattle, WA",
5,19951025,19951024," Brunswick County, ND",30 min.
6,19950420,19950419," Fargo, ND",2 min.
7,19950911,19950911," Las Vegas, NV",
8,19950115,19950214," Morton, WA",
9,19950915,19950915," Redmond, WA",6 min.
10,19940801,19950220," Renton, WA",
11,19950722,19950724," Springfield, IL",1 min.
12,19950611,19950612," Sharon, MA",
13,19950821,19950823," Laporte, WA",5 sec.
14,19950416,19950416," Villa Rica, GA",
15,19950207,19950207," Raymond, WA",
16,19951118,19951117," Orlando, FL",
17,19950610,19950611," Glade Spring, VA",5 min.
18,19950514,19950514," Silver Beach, NY",25 min.
19,19950204,19950204," Lewiston, MT",
20,19950812,19950911," Fort Myers Beach, FL",
21,19951106,19951106," St. Augustine, FL",20 sec.
22,19950628,19950628," Lisbon, ME",
23,19950314,19950314," Fontana, CA",5 min.
24,19950306,19950307," Hilltop, NJ",5 sec.
25,19950506,19950516," Lebanon, OR",
26,19950730,19950730," Newtown, CT",30 sec.
27,19950822,19950822," Prescott, AZ",2 sec.
28,19950207,19950207," Quilcene, WA",20 sec
29,19950909,19950910," Silverdale, WA",2 sec.
30,19950328,19950328," Cordova, AK",15 min
31,19950404,19950404," Folsom, NJ",
32,19950228,19950302," Harrisonburg, VA",
33,19950222,19950222," Vancouver, WA",4 sec.
34,19950912,19950914," North Haven, CT",5 min.
35,19950824,19950825," Battle Creek, MI",
36,19950130,19950130," Jacksonville, FL",90 sec.
37,19950829,19950829," Boise, ID",1 sec.
38,19950121,19950122," Seymour, TN",3 min.
39,19951022,19951024," Bessemer, AL",15 min.
40,19950916,19950916," Seattle, WA",20 sec.
41,19941231,19950426," West Union, OH",
42,19950423,19950423," Bradenton, FL",5 min.
43,19950222,19950222," Seattle, WA",4 sec.
44,19950314,19950319," N. Judson, IN",
45,19951116,19951116," Elk Grove, CA",40 sec.
46,19950202,19950203," Denmark, WI",75 min
47,19941209,19950607," Cromwell, CT",8 min.
48,19950625,19950627," Sioux Falls, SD",
49,19950809,19950809," Fresno, CA",15 min.
50,19950825,19950825," Kansas City, KS",
51,19950109,19950307," Marion, NY",3 min.
52,19950507,19950510," Cannon, NH",1 min.
53,19950913,19950913," Corpus Christi, TX",10 min.
54,19950808,19950809," Oregon City, OR",30 min.
55,19950204,19950204," Chimacum, WA",
56,19950722,19950723," Santa Clara, CA",30 min.
57,19950322,19950322," Redmond, WA",20 min.
58,19950222,19950222," St. Louis, MO",4 sec.
59,19950312,19950312," Norfolk, VA",3 hrs.
60,19950603,19950603," Goldsboro, NC",3 sec.
61,19950103,19950103," Salinas, CA",15 min.
62,19950325,19950326," Salinas, CA",20 min.
